date,num_target,num_held,target,held,buy_skipped_limit_up,sold_out,sell_skipped_limit_down
2006-01-04,0,0,,,,,
2006-02-06,6,6,600428|600886|002044|002040|002033|000933,000933|002033|002040|002044|600428|600886,,,
2006-03-01,8,8,600886|000933|000550|600428|002044|002040|600010|002033,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-04-03,8,8,000550|600886|600010|002040|002044|002033|600428|000933,000550|000933|002033|002040|002044|600010|600428|600886,,,
2006-05-08,10,10,000550|000155|000933|000937|000912|002025|600096|002022|001696|600428,000155|000550|000912|000933|000937|001696|002022|002025|600096|600428,,600886|600010|002040|002044|002033,
2006-06-01,20,20,000912|000983|000937|600525|600880|600436|600418|600428|600420|600500|600583|000155|000550|600096|600227|000069|002022|002025|002050|001696,000069|000155|000550|000912|000937|000983|001696|002022|002025|002050|600096|600227|600418|600420|600428|600436|600500|600525|600583|600880,,000933,
2006-07-03,20,20,600096|002010|001696|600227|600026|000066|000069|600123|002050|600880|600019|002025|002028|000155|002022|600997|600183|000983|600418|600420,000066|000069|000155|000983|001696|002010|002022|002025|002028|002050|600019|600026|600096|600123|600183|600227|600418|600420|600880|600997,,000912|000937|600428|000550|600525|600436|600500|600583,
2006-08-01,20,20,600436|002025|600420|600276|002028|600428|000937|600227|600829|000933|000538|000550|600320|000983|000039|002010|001696|600997|600362|000027,000027|000039|000538|000550|000933|000937|000983|001696|002010|002025|002028|600227|600276|600320|600362|600420|600428|600436|600829|600997,,600096|000069|002050|600880|000155|002022|600418|600026|000066|600123|600019|600183,
2006-09-01,20,20,600809|000039|600880|600829|600875|000002|600997|000006|600079|600096|600012|600026|600123|600183|000898|000912|000731|002028|000690|002025,000002|000006|000039|000690|000731|000898|000912|002025|002028|600012|600026|600079|600096|600123|600183|600809|600829|600875|600880|600997,,600420|600227|000983|002010|001696|600436|600276|600428|000937|000933|000538|000550|600320|600362|000027,
2006-10-09,20,20,000002|000690|000039|000006|600500|600642|600497|000731|600997|000538|000157|000155|000528|600583|600650|000550|600596|000060|600875|000088,000002|000006|000039|000060|000088|000155|000157|000528|000538|000550|000690|000731|600497|600500|600583|600596|600642|600650|600875|600997,,600829|002028|002025|600809|600880|600079|600096|600012|600026|600123|600183|000898|000912,
2006-11-01,20,20,600845|002048|000006|002050|002022|000060|002025|002052|002049|600183|000898|002033|002028|002046|002010|600096|000987|600037|600028|000970,000006|000060|000898|000970|000987|002010|002022|002025|002028|002033|002046|002048|002049|002050|002052|600028|600037|600096|600183|600845,,000002|000690|000039|000731|600997|600875|600500|600642|600497|000538|000157|000155|000528|600583|600650|000550|600596|000088,
2006-12-01,20,20,000039|000006|000027|000528|600879|000550|600880|000538|000088|000089|000690|000060|000157|600271|600276|600650|600309|600320|600642|600123,000006|000027|000039|000060|000088|000089|000157|000528|000538|000550|000690|600123|600271|600276|600309|600320|600642|600650|600879|600880,,600845|002048|002050|002022|002025|002052|002049|600183|000898|002033|002028|002046|002010|600096|000987|600037|600028|000970,
2007-01-04,20,19,600880|600879|000970|000933|000937|002010|002003|000983|000987|000825|000912|000898|600028|600026|600012|600019|600079|002046|002048|002049,000825|000898|000912|000933|000937|000970|000983|000987|002003|002010|002046|002048|002049|600012|600019|600026|600079|600879|600880,600028,000006|000060|000039|000027|000528|000550|000538|000088|000089|000690|000157|600271|600276|600650|600309|600320|600642|600123,
2007-02-01,20,20,600880|000006|002033|002028|002022|002025|002046|002049|002050|002052|000933|000937|002003|002010|000157|000983|000987|000088|600123|000089,000006|000088|000089|000157|000933|000937|000983|000987|002003|002010|002022|002025|002028|002033|002046|002049|002050|002052|600123|600880,,600879|000970|000825|000912|000898|600026|600012|600019|600079|002048,
2007-03-01,20,20,000027|600227|002022|600019|000039|002025|600880|600012|002033|002003|000937|002028|000933|600123|002046|600183|002050|000006|002010|002049,000006|000027|000039|000933|000937|002003|002010|002022|002025|002028|002033|002046|002049|002050|600012|600019|600123|600183|600227|600880,,000983|000987|002052|000157|000088|000089,
2007-04-02,20,20,000039|002010|000983|000987|600880|600276|002003|600271|002109|000027|002049|002050|600183|002090|600143|600227|002025|600019|002028|000006,000006|000027|000039|000983|000987|002003|002010|002025|002028|002049|002050|002090|002109|600019|600143|600183|600227|600271|600276|600880,,002022|002033|000937|000933|600123|002046|600012,
2007-05-08,20,19,600271|600269|600177|002091|002100|002090|600183|002038|600497|002033|002029|600276|600489|600517|600227|600123|000027|000069|002092|002096,000027|002029|002033|002038|002090|002091|002092|002096|002100|600123|600177|600183|600227|600269|600271|600276|600489|600497|600517,000069,000039|002010|600880|002003|002049|002050|002025|600019|002028|000006|000983|000987|002109|600143,
2007-06-01,20,20,600436|600497|002038|002033|002029|600489|600276|600271|600227|600231|002036|600439|600527|600348|002022|600547|000088|000528|600269|000027,000027|000088|000528|002022|002029|002033|002036|002038|600227|600231|600269|600271|600276|600348|600436|600439|600489|600497|600527|600547,,002090|600183|600177|002091|002100|600517|600123|002092|002096,
2007-07-02,20,20,601006|600436|600497|600231|002038|002033|002029|600227|600527|600271|600439|600517|600547|002022|000021|600269|601699|600276|000528|601666,000021|000528|002022|002029|002033|002038|600227|600231|600269|600271|600276|600436|600439|600497|600517|600527|600547|601006|601666|601699,,600489|000027|002036|600348|000088,
2007-08-01,20,20,000550|002104|002109|002101|000528|002102|600497|600527|002107|002115|002110|600517|002108|002120|002117|002116|600489|600276|600271|000919,000528|000550|000919|002101|002102|002104|002107|002108|002109|002110|002115|002116|002117|002120|600271|600276|600489|600497|600517|600527,,600436|600231|002038|002033|002029|600227|600439|600547|002022|600269|601006|000021|601699|601666,
2007-09-03,20,18,002101|600547|002109|002104|002096|600993|000027|600900|002099|002108|002102|002107|600570|002061|002065|002062|002063|601666|600436|601699,000027|002061|002062|002063|002065|002096|002099|002101|002102|002104|002107|002108|002109|600436|600547|600570|600900|600993,601666|601699,000528|600497|600527|600517|600276|600271|000550|002115|002110|002120|002117|002116|600489|000919,
2007-10-08,20,19,600497|600231|002038|600183|600436|600276|600971|600993|600227|600588|600517|600271|000021|000987|002003|600348|000088|600439|600352|600269,000021|000088|000987|002003|002038|600183|600231|600269|600271|600276|600348|600352|600436|600439|600497|600517|600588|600971|600993,600227,002101|002109|002104|002108|002102|002107|600547|002096|000027|600900|002099|600570|002061|002065|002062|002063,
2007-11-01,20,20,600971|601699|600993|600031|600033|600900|601006|600880|002086|002091|002096|002099|002100|002065|002081|002073|002074|002076|002101|002138,002065|002073|002074|002076|002081|002086|002091|002096|002099|002100|002101|002138|600031|600033|600880|600900|600971|600993|601006|601699,,600436|600497|600231|002038|600183|600276|600588|600517|600271|000021|000987|002003|600348|000088|600439|600352|600269,
2007-12-03,20,20,000637|600570|600227|601006|600497|600233|000541|600993|600588|600971|600761|600489|600580|000088|000937|000550|600123|600183|000551|600547,000088|000541|000550|000551|000637|000937|600123|600183|600227|600233|600489|600497|600547|600570|600580|600588|600761|600971|600993|601006,,601699|600031|600033|600900|600880|002086|002091|002096|002099|002100|002065|002081|002073|002074|002076|002101|002138,
2008-01-02,20,20,600570|600233|000541|600993|600809|600276|600588|600271|600436|600033|600227|000987|000021|600580|600031|000937|000903|000900|600880|600123,000021|000541|000900|000903|000937|000987|600031|600033|600123|600227|600233|600271|600276|600436|600570|600580|600588|600809|600880|600993,,601006|600971|000637|600497|600761|600489|000088|000550|600183|000551|600547,
2008-02-01,20,20,600517|600233|600809|600993|600031|600276|600271|000541|600436|600420|600183|600971|600479|600489|600033|600123|600439|600227|000021|000900,000021|000541|000900|600031|600033|600123|600183|600227|600233|600271|600276|600420|600436|600439|600479|600489|600517|600809|600971|600993,,600570|600588|600580|000937|000987|000903|600880,
2008-03-03,20,20,000637|600233|002033|600809|600993|600276|000541|600436|600271|600439|600031|600761|600033|600227|600183|000088|600123|000021|000903|600880,000021|000088|000541|000637|000903|002033|600031|600033|600123|600183|600227|600233|600271|600276|600436|600439|600761|600809|600880|600993,,000900|600517|600420|600971|600479|600489,
2008-04-01,20,20,600641|600517|600233|002003|002033|002096|002076|600276|002032|600588|002056|600436|600439|600271|600479|002106|002007|600033|002100|000987,000987|002003|002007|002032|002033|002056|002076|002096|002100|002106|600033|600233|600271|600276|600436|600439|600479|600517|600588|600641,,600809|600993|000541|600031|600227|600183|600123|000021|000637|600761|000088|000903|600880,
2008-05-05,20,20,000006|601699|600233|000032|600436|600276|600479|600563|600521|600588|600420|000987|000919|600188|600231|600525|600271|600592|000848|000895,000006|000032|000848|000895|000919|000987|600188|600231|600233|600271|600276|600420|600436|600479|600521|600525|600563|600588|600592|601699,,002033|600439|600033|600641|600517|002003|002096|002076|002032|002056|002106|002007|002100,
2008-06-02,20,20,002214|002196|002199|002197|002222|002204|600227|002206|002208|600233|600201|600033|600176|600188|600256|002028|002203|600066|600123|002148,002028|002148|002196|002197|002199|002203|002204|002206|002208|002214|002222|600033|600066|600123|600176|600188|600201|600227|600233|600256,,600436|600276|600479|600588|000987|600271|000006|601699|000032|600563|600521|600420|000919|600231|600525|600592|000848|000895,
