date,nav,num_held
2006-01-04,1.0,0
2006-01-05,1.0,0
2006-01-06,1.0,0
2006-01-09,1.0,0
2006-01-10,1.0,0
2006-01-11,1.0,0
2006-01-12,1.0,0
2006-01-13,1.0,0
2006-01-16,1.0,0
2006-01-17,1.0,0
2006-01-18,1.0,0
2006-01-19,1.0,0
2006-01-20,1.0,0
2006-01-23,1.0,0
2006-01-24,1.0,0
2006-01-25,1.0,0
2006-02-06,1.0,0
2006-02-07,1.0,0
2006-02-08,1.0,0
2006-02-09,1.0,0
2006-02-10,1.0,0
2006-02-13,1.0,0
2006-02-14,1.0,0
2006-02-15,1.0,0
2006-02-16,1.0,0
2006-02-17,1.0,0
2006-02-20,1.0,0
2006-02-21,1.0,0
2006-02-22,1.0,0
2006-02-23,1.0,0
2006-02-24,1.0,0
2006-02-27,1.0,0
2006-02-28,1.0,0
2006-03-01,1.0,0
2006-03-02,1.0,0
2006-03-03,1.0,0
2006-03-06,1.0,0
2006-03-07,1.0,0
2006-03-08,1.0,0
2006-03-09,1.0,0
2006-03-10,1.0,0
2006-03-13,1.0,0
2006-03-14,1.0,0
2006-03-15,1.0,0
2006-03-16,1.0,0
2006-03-17,1.0,0
2006-03-20,1.0,0
2006-03-21,1.0,0
2006-03-22,1.0,0
2006-03-23,1.0,0
2006-03-24,1.0,0
2006-03-27,1.0,0
2006-03-28,1.0,0
2006-03-29,1.0,0
2006-03-30,1.0,0
2006-03-31,1.0,0
2006-04-03,1.0,0
2006-04-04,1.0,0
2006-04-05,1.0,0
2006-04-06,1.0,0
2006-04-07,1.0,0
2006-04-10,1.0,0
2006-04-11,1.0,0
2006-04-12,1.0,0
2006-04-13,1.0,0
2006-04-14,1.0,0
2006-04-17,1.0,0
2006-04-18,1.0,0
2006-04-19,1.0,0
2006-04-20,1.0,0
2006-04-21,1.0,0
2006-04-24,1.0,0
2006-04-25,1.0,0
2006-04-26,1.0,0
2006-04-27,1.0,0
2006-04-28,1.0,0
2006-05-08,1.0,0
2006-05-09,1.0,0
2006-05-10,1.0,0
2006-05-11,1.0,0
2006-05-12,1.0,0
2006-05-15,1.0,0
2006-05-16,1.0,0
2006-05-17,1.0,0
2006-05-18,1.0,0
2006-05-19,1.0,0
2006-05-22,1.0,0
2006-05-23,1.0,0
2006-05-24,1.0,0
2006-05-25,1.0,0
